"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,     -0.4014702776,        2.44363947,       2.191716419,       5.332961181
          0,           0,           1,     -0.4831779497,       2.355730429,       2.099946867,       5.263344832
          0,           0,           2,     -0.5406351302,       2.309031236,       2.061837942,       5.212412274
          0,           0,           3,     -0.5952142118,       2.269864822,       2.044241793,       5.152748184
          0,           0,           4,     -0.6404013907,       2.238956395,       2.030960055,       5.093592091
          0,           0,           5,      -0.663719022,       2.222893619,       2.016186583,       5.052804492
          0,           0,           6,     -0.6596563117,       2.219654451,       1.998307782,       5.040756419
          0,           0,           7,     -0.6381466402,       2.222360318,       1.978401072,       5.049690443
          0,           0,           8,     -0.6112722026,       2.226178385,       1.958554436,       5.066860825
          0,           0,           9,     -0.5854506828,       2.229642116,       1.941082749,       5.084888635
          0,           0,          10,     -0.5637033695,       2.232575411,       1.927446818,       5.100290294
          0,           0,          11,     -0.5478447634,       2.234291238,       1.917644593,       5.110974494
          0,           0,          12,     -0.5389014671,       2.233489555,       1.910766108,       5.115672967
          0,           0,          13,     -0.5392675357,       2.228617384,        1.90537328,       5.112735061
          0,           0,          14,     -0.5461582259,       2.218959661,       1.901264657,       5.103597145
          0,           0,          15,     -0.5580455143,       2.204763708,       1.898278876,       5.089576543
          0,           0,          16,     -0.5729301673,       2.187354057,       1.896154972,       5.072655409
          0,           0,          17,      -0.588507747,        2.16910353,       1.894513057,       5.055415938
          0,           0,          18,     -0.6025910584,       2.152876527,       1.892867462,        5.04054702
          0,           0,          19,     -0.6135297132,       2.141166697,       1.890891538,       5.030178017
          0,           0,          20,      -0.620595169,       2.135165508,         1.8885141,       5.025168368
          0,           0,          21,      -0.624038669,       2.134435858,       1.885843596,       5.024908582
          0,           0,          22,     -0.6247411335,       2.137475157,       1.883112157,       5.027872175
          0,           0,          23,     -0.6237448282,       2.142633668,       1.880607709,       5.032448641
          0,           0,          24,     -0.6219483337,         2.1486469,       1.878576546,       5.037407523
          0,           0,          25,     -0.6199666811,       2.154724353,       1.877224586,       5.042003937
          0,           0,          26,     -0.6181774391,       2.160426852,       1.876623232,       5.045836208
          0,           0,          27,     -0.6167591883,       2.165520348,       1.876687886,       5.048741658
          0,           0,          28,     -0.6157499881,       2.169923312,       1.877187189,       5.050727223
          0,           0,          29,     -0.6150803145,       2.173669993,       1.877817294,       5.051931645
          0,           0,          30,     -0.6146355984,       2.176828008,       1.878248809,       5.052538777
          0,           0,          31,      -0.614298753,       2.179441227,       1.878235075,       5.052715318
          0,           0,          32,     -0.6140510697,       2.181461235,       1.877557064,        5.05250936
          0,           0,          33,     -0.6139568188,       2.182783696,       1.876095208,       5.051884546
          0,           0,          34,     -0.6141374689,         2.1832931,       1.873844684,       5.050759754
          0,           0,          35,     -0.6147344595,       2.182899839,       1.870915764,       5.049047247
          0,           0,          36,     -0.6158942469,       2.181540255,       1.867464912,       5.046653913
          0,           0,          37,     -0.6177417356,       2.179176287,       1.863651106,       5.043495369
          0,           0,          38,     -0.6203656564,       2.175793405,       1.859587288,       5.039509968
          0,           0,          39,     -0.6238045355,       2.171409205,       1.855315265,       5.034681375
          0,           0,          40,     -0.6280461895,       2.166076946,        1.85080887,       5.029046023
          0,           0,          41,     -0.6330317341,       2.159887519,       1.846004732,       5.022690922
          0,           0,          42,      -0.638666903,       2.152966769,       1.840838975,        5.01574114
          0,           0,          43,     -0.6448309494,       2.145471712,       1.835283192,        5.00834706
          0,           0,          44,     -0.6513858068,       2.137585759,       1.829364155,       5.000674694
          0,           0,          45,     -0.6581827572,       2.129509464,       1.823164023,       4.992898747
