"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,     -0.5741890903,       2.262640317,       2.042413181,       5.160242369
          0,           0,           1,       -0.70798083,       2.127041071,       1.880242482,       5.034404627
          0,           0,           2,     -0.7826195994,       2.063051305,       1.791278412,       4.968618783
          0,           0,           3,      -0.813403575,        2.03973098,       1.763324779,       4.938622448
          0,           0,           4,     -0.8200259904,       2.033638954,       1.768901605,       4.928414562
          0,           0,           5,     -0.8161345456,       2.034621757,       1.786933805,       4.929330195
          0,           0,           6,     -0.8083560135,       2.038879059,       1.805089847,       4.935693506
          0,           0,           7,     -0.7981041498,       2.045895367,       1.818321388,       4.944769754
          0,           0,           8,      -0.785057234,       2.055802733,       1.827370312,       4.955861831
          0,           0,           9,     -0.7691782448,       2.068131951,       1.835482615,       4.968809652
          0,           0,          10,     -0.7511338616,       2.081722958,       1.845704171,        4.98306412
          0,           0,          11,     -0.7321627228,       2.095075631,       1.859094762,       4.997456064
          0,           0,          12,     -0.7134861119,       2.106945301,       1.874644897,        5.01070271
          0,           0,          13,     -0.6957214757,       2.116775164,       1.890693607,       5.022080312
          0,           0,          14,     -0.6790325193,       2.124539617,       1.905812687,        5.03139608
          0,           0,          15,     -0.6632310605,       2.130612748,       1.919387823,       5.038948252
          0,           0,          16,     -0.6480192764,       2.135596014,       1.931507075,       5.045332855
          0,           0,          17,     -0.6331675748,       2.140171056,       1.942599025,        5.05123321
          0,           0,          18,     -0.6185765248,       2.145082918,       1.953097518,       5.057345588
          0,           0,          19,     -0.6043278967,       2.150997502,       1.963177698,       5.064227546
          0,           0,          20,     -0.5905632179,       2.158480795,       1.972854169,       5.072330602
          0,           0,          21,     -0.5774176164,       2.167921166,       1.982029271,        5.08195143
          0,           0,          22,     -0.5649634514,       2.179466883,       1.990648834,       5.093198851
          0,           0,          23,     -0.5531425423,       2.193054627,       1.998806699,       5.106028805
          0,           0,          24,     -0.5417613674,       2.208464116,       2.006822338,       5.120312225
          0,           0,          25,     -0.5304975508,       2.225430935,       2.015201715,       5.135947649
          0,           0,          26,     -0.5189195079,       2.243692766,       2.024590201,       5.152872771
          0,           0,          27,     -0.5067572313,       2.262819646,         2.0354127,       5.170835776
          0,           0,          28,     -0.4939727194,       2.282246136,       2.047669052,       5.189352249
          0,           0,          29,     -0.4808247293,       2.301302762,       2.060851919,       5.207719131
          0,           0,          30,     -0.4677805802,       2.319299328,        2.07408724,       5.225129244
          0,           0,          31,     -0.4553088175,       2.335725702,       2.086461495,       5.240911347
          0,           0,          32,     -0.4438941754,         2.3501909,         2.0971613,       5.254546424
          0,           0,          33,     -0.4337890165,       2.362603637,       2.105735011,       5.265860022
          0,           0,          34,      -0.425034291,       2.373101465,       2.112066952,       5.274957375
          0,           0,          35,     -0.4175282393,       2.381942559,        2.11633892,       5.282127385
          0,           0,          36,     -0.4110805979,       2.389436006,       2.118941166,       5.287753449
          0,           0,          37,     -0.4054900714,       2.395857881,       2.120377949,       5.292211046
          0,           0,          38,     -0.4005699269,       2.401419191,       2.121198746,       5.295817163
          0,           0,          39,     -0.3961866477,       2.406241147,       2.121911143,       5.298789807
          0,           0,          40,     -0.3922619811,        2.41036916,       2.122918307,       5.301253461
          0,           0,          41,      -0.388751065,         2.4138092,       2.124463603,       5.303269845
          0,           0,          42,     -0.3856263912,        2.41656697,       2.126613956,       5.304881738
          0,           0,          43,     -0.3828496574,       2.418677016,       2.129293219,        5.30614934
          0,           0,          44,     -0.3803694156,        2.42021215,       2.132304669,       5.307158934
          0,           0,          45,     -0.3781466156,       2.421261023,       2.135373237,       5.308002661
          0,           0,          46,     -0.3761448178,       2.421913405,       2.138211063,       5.308757395
          0,           0,          47,     -0.3743435428,       2.422241428,        2.14056399,       5.309468288
          0,           0,          48,     -0.3727576062,       2.422273124,       2.142229448,       5.310114723
          0,           0,          49,     -0.3714119961,       2.422004482,       2.143107636,       5.310629303
          0,           0,          50,     -0.3703544667,       2.421393012,       2.143174526,        5.31089143
          0,           0,          51,     -0.3696598213,       2.420347543,       2.142478134,       5.310736638
          0,           0,          52,     -0.3693417406,       2.418834734,       2.141155027,       5.310055254
          0,           0,          53,     -0.3694191347,         2.4168115,       2.139361921,       5.308746467
          0,           0,          54,     -0.3699024111,          2.414279,       2.137225121,       5.306755456
          0,           0,          55,      -0.370768467,       2.411269022,       2.134873293,       5.304084817
          0,           0,          56,     -0.3719777783,       2.407845609,       2.132390987,       5.300785609
          0,           0,          57,     -0.3734814359,       2.404098879,        2.12981504,       5.296948593
          0,           0,          58,     -0.3752676581,       2.400092623,       2.127121273,       5.292656549
          0,           0,          59,     -0.3772757492,       2.395935144,       2.124275795,       5.288037454
          0,           0,          60,     -0.3794827137,       2.391693531,         2.1212069,         5.2831862
          0,           0,          61,     -0.3818924023,       2.387393319,       2.117842716,       5.278167803
          0,           0,          62,     -0.3845219501,       2.383036027,       2.114117718,       5.273022762
          0,           0,          63,     -0.3873946598,       2.378603939,        2.10998867,       5.267772088
          0,           0,          64,     -0.3905659744,       2.374040669,       2.105413963,       5.262396127
          0,           0,          65,     -0.3940910886,       2.369280921,       2.100377255,       5.256864161
          0,           0,          66,     -0.3980135595,        2.36426909,       2.094905483,       5.251154178
          0,           0,          67,     -0.4023908339,        2.35893936,       2.089018239,       5.245225382
          0,           0,          68,      -0.407256223,       2.353245472,       2.082767654,       5.239055624
          0,           0,          69,     -0.4126441423,       2.347146536,       2.076198409,       5.232618909
          0,           0,          70,       -0.41858678,       2.340607535,       2.069340698,       5.225885668
          0,           0,          71,     -0.4250879875,       2.333626394,       2.062235132,       5.218855248
          0,           0,          72,     -0.4321416908,       2.326216383,       2.054915769,        5.21153389
          0,           0,          73,     -0.4397410828,        2.31839488,       2.047385877,       5.203922965
          0,           0,          74,     -0.4478623569,       2.310193108,       2.039639525,       5.196034393
          0,           0,          75,     -0.4564863438,       2.301636911,        2.03164148,       5.187869991
          0,           0,          76,     -0.4655942938,       2.292746099,       2.023341913,       5.179425063
          0,           0,          77,     -0.4751775435,       2.283522247,       2.014677822,       5.170678125
          0,           0,          78,     -0.4852283133,       2.273951507,        2.00558366,       5.161594834
          0,           0,          79,     -0.4957524427,       2.263991612,       1.995987919,       5.152117232
          0,           0,          80,     -0.5067663311,       2.253575501,       1.985819636,       5.142168243
          0,           0,          81,      -0.518293807,        2.24261386,       1.975010252,       5.131655346
          0,           0,          82,     -0.5303605703,       2.231007731,       1.963499714,       5.120482003
          0,           0,          83,     -0.5429928125,       2.218657392,       1.951233952,       5.108553563
          0,           0,          84,     -0.5562013167,       2.205480938,       1.938184133,        5.09579926
          0,           0,          85,     -0.5699862574,       2.191421129,       1.924338788,       5.082173838
          0,           0,          86,     -0.5843363947,       2.176453915,       1.909705974,         5.0676636
          0,           0,          87,     -0.5992247968,       2.160597364,       1.894321494,       5.052294934
          0,           0,          88,     -0.6146109452,       2.143913943,       1.878247869,        5.03613477
          0,           0,          89,      -0.630442183,       2.126510556,       1.861574227,       5.019289647
          0,           0,          90,     -0.6466568414,       2.108533945,       1.844412126,       5.001900271
          0,           0,          91,     -0.6632060894,       2.090149441,        1.82686757,       4.984117615
          0,           0,          92,     -0.6800132583,       2.071560761,       1.809081803,       4.966129741
          0,           0,          93,     -0.6969915816,       2.052981862,       1.791205186,       4.948133587
          0,           0,          94,     -0.7140791139,       2.034596128,       1.773350676,       4.930292043
          0,           0,          95,     -0.7312192657,       2.016555582,       1.755609451,       4.912738798
          0,           0,          96,     -0.7483661714,       1.998960026,       1.738042778,       4.895561365
          0,           0,          97,     -0.7654838597,       1.981851255,       1.720681206,       4.878796356
          0,           0,          98,     -0.7825477175,       1.965210098,        1.70352604,        4.86242753
          0,           0,          99,     -0.7995436802,        1.94896391,        1.68655503,       4.846392485
          0,           0,         100,     -0.8164660166,       1.933002024,       1.669730582,       4.830595962
          0,           0,         101,     -0.8333152815,       1.917195518,       1.653007652,       4.814926308
          0,           0,         102,     -0.8500910317,       1.901419949,       1.636348325,       4.799276374
          0,           0,         103,     -0.8667874412,       1.885576091,       1.619727204,       4.783560779
          0,           0,         104,     -0.8833942911,       1.869600815,       1.603132635,       4.767724977
          0,           0,         105,     -0.8998914143,       1.853480184,       1.586570766,       4.751756918
          0,           0,         106,     -0.9162501636,       1.837245546,       1.570067602,       4.735685312
          0,           0,         107,     -0.9324326748,       1.820974879,       1.553663914,       4.719579528
          0,           0,         108,     -0.9483939298,       1.804782785,        1.53741294,       4.703541921
          0,           0,         109,     -0.9640859407,        1.78880745,       1.521375212,       4.687695669
          0,           0,         110,     -0.9794612214,       1.773192464,       1.505612409,       4.672169889
          0,           0,         111,     -0.9944750616,       1.758072255,       1.490184779,        4.65708733
          0,           0,         112,      -1.009092272,       1.743557082,       1.475142994,       4.642549167
          0,           0,         113,      -1.023287526,       1.729722917,       1.460528119,       4.628626858
          0,           0,         114,      -1.037049154,       1.716607064,       1.446364247,       4.615355479
          0,           0,         115,      -1.050371595,       1.704207167,       1.432669883,        4.60273799
          0,           0,         116,      -1.063257907,       1.692485197,       1.419453057,       4.590746494
          0,           0,         117,      -1.075718637,       1.681381014,       1.406707332,       4.579330717
          0,           0,         118,      -1.087769395,       1.670819176,        1.39441594,       4.568425622
          0,           0,         119,      -1.099427431,       1.660718832,       1.382556175,       4.557961005
          0,           0,         120,      -1.110716505,       1.650998393,       1.371094656,       4.547863487
          0,           0,         121,      -1.121660852,       1.641583803,       1.359994435,        4.53806596
          0,           0,         122,      -1.132285764,       1.632411357,       1.349216568,       4.528509857
          0,           0,         123,      -1.142617154,       1.623428701,       1.338721854,        4.51914631
          0,           0,         124,      -1.152681826,       1.614596005,       1.328472475,       4.509937233
          0,           0,         125,      -1.162507184,       1.605882996,       1.318432715,       4.500853064
          0,           0,         126,      -1.172120809,       1.597268161,       1.308569868,       4.491872083
          0,           0,         127,      -1.181550076,       1.588737042,       1.298854829,       4.482979011
          0,           0,         128,      -1.190821464,       1.580280494,       1.289262525,        4.47416363
          0,           0,         129,      -1.199962844,       1.571891981,       1.279768863,       4.465417139
          0,           0,         130,       -1.20899681,       1.563568136,       1.270356784,       4.456735935
          0,           0,         131,       -1.21794482,       1.555307399,       1.261011969,        4.44811751
          0,           0,         132,      -1.226827261,       1.547106818,       1.251722416,       4.439558696
          0,           0,         133,      -1.235659861,       1.538964682,       1.242479708,       4.431057778
