"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,       -1.30613695,       1.530692458,       1.310465321,       4.428294509
          0,           0,           1,       -1.45095743,       1.382509411,       1.138743525,       4.290824343
          0,           0,           2,      -1.545263076,       1.295777026,       1.032763324,        4.20437518
          0,           0,           3,      -1.595861392,       1.249390491,      0.9848716083,       4.153034421
          0,           0,           4,      -1.615250691,       1.226873534,      0.9752465577,       4.127722169
          0,           0,           5,       -1.61843229,       1.217434287,      0.9833601546,       4.119651862
          0,           0,           6,      -1.617312721,       1.212771487,      0.9928492396,       4.118641123
          0,           0,           7,      -1.617519972,       1.208501851,      0.9951522391,       4.117921722
          0,           0,           8,      -1.620668089,        1.20293385,      0.9891813656,       4.114780994
          0,           0,           9,      -1.626454221,        1.19573251,      0.9775263636,       4.108907161
          0,           0,          10,      -1.633921607,       1.187176037,      0.9639279494,       4.101022891
          0,           0,          11,      -1.642027732,       1.177877265,      0.9516573393,       4.092197492
          0,           0,          12,       -1.64995341,       1.168547151,      0.9425059401,       4.083409353
          0,           0,          13,      -1.657264338,        1.15976377,      0.9365499347,       4.075293338
          0,           0,          14,       -1.66388005,       1.151854879,      0.9326868065,       4.068084062
          0,           0,          15,      -1.669912192,       1.144899051,      0.9295929014,       4.061745008
          0,           0,          16,      -1.675514642,       1.138763891,      0.9263499319,       4.056098131
          0,           0,          17,      -1.680792421,       1.133192649,      0.9226298073,       4.050936398
          0,           0,          18,      -1.685753127,       1.127943883,      0.9185127794,       4.046099511
          0,           0,          19,      -1.690326283,       1.122886654,      0.9142453476,       4.041511907
          0,           0,          20,      -1.694430436,       1.118009043,      0.9100315165,        4.03715779
          0,           0,          21,      -1.698001853,       1.113398968,      0.9060026764,       4.033080964
          0,           0,          22,      -1.701009763,       1.109177377,      0.9022538842,       4.029357842
          0,           0,          23,      -1.703438115,       1.105462558,      0.8988872863,       4.026083451
          0,           0,          24,      -1.705304411,       1.102315023,      0.8959872801,       4.023316506
          0,           0,          25,      -1.706655193,       1.099723635,      0.8935864633,       4.021051948
          0,           0,          26,      -1.707529849,       1.097654373,       0.891690199,       4.019266276
          0,           0,          27,      -1.707947877,        1.09607385,      0.8902936748,       4.017947289
          0,           0,          28,      -1.707903655,        1.09497109,       0.889398849,       4.017110085
          0,           0,          29,      -1.707394725,        1.09434298,      0.8889779144,       4.016769151
          0,           0,          30,      -1.706458353,       1.094167756,      0.8889280625,       4.016892125
          0,           0,          31,      -1.705182394,       1.094395071,      0.8890585885,       4.017380713
          0,           0,          32,      -1.703713568,       1.094932948,      0.8891219211,        4.01807475
          0,           0,          33,       -1.70221323,       1.095670148,      0.8889006294,       4.018803625
          0,           0,          34,      -1.700804621,       1.096520398,      0.8882958973,       4.019456632
          0,           0,          35,      -1.699550697,       1.097430499,      0.8873456469,       4.020000024
          0,           0,          36,      -1.698442462,       1.098391012,       0.886207457,       4.020478837
          0,           0,          37,      -1.697407098,       1.099435492,      0.8851010604,       4.020995353
          0,           0,          38,      -1.696331821,       1.100625413,      0.8842472878,       4.021674751
          0,           0,          39,      -1.695093696,       1.102026983,      0.8838258272,       4.022632809
          0,           0,          40,      -1.693584221,       1.103692242,       0.883953477,         4.0239538
          0,           0,          41,       -1.69173021,       1.105648089,      0.8846808903,       4.025681142
          0,           0,          42,      -1.689503375,       1.107890421,      0.8859929529,       4.027808982
          0,           0,          43,      -1.686927339,       1.110382153,      0.8878061734,       4.030281369
          0,           0,          44,      -1.684037512,       1.113088494,      0.8900411449,       4.033040489
          0,           0,          45,       -1.68089516,       1.115963652,      0.8926078144,       4.036016099
          0,           0,          46,      -1.677556183,       1.118970864,      0.8954635679,       4.039160376
          0,           0,          47,       -1.67408686,       1.122063934,      0.8985850102,       4.042429569
          0,           0,          48,       -1.67053622,       1.125208295,      0.9019750248,       4.045799067
          0,           0,          49,      -1.666976405,       1.128339324,       0.905581482,       4.049208802
          0,           0,          50,      -1.663489986,       1.131373443,      0.9092879794,       4.052562311
          0,           0,          51,      -1.660171468,       1.134216898,      0.9128995454,       4.055728037
          0,           0,          52,      -1.657107299,        1.13678625,      0.9161888864,       4.058567754
          0,           0,          53,      -1.654338234,       1.139044723,      0.9189857291,        4.06099278
          0,           0,          54,       -1.65184714,       1.141017057,      0.9212282426,       4.062995022
          0,           0,          55,      -1.649555681,       1.142784172,      0.9229967698,       4.064656856
          0,           0,          56,      -1.647327417,       1.144484486,       0.924504313,       4.066151139
          0,           0,          57,      -1.645010873,       1.146276702,      0.9260136111,       4.067687881
          0,           0,          58,      -1.642478102,       1.148278931,      0.9277873445,         4.0694479
          0,           0,          59,       -1.63964583,       1.150583784,      0.9299912951,       4.071565284
          0,           0,          60,      -1.636491127,       1.153218022,      0.9326806935,       4.074086454
          0,           0,          61,      -1.633048512,        1.15616244,      0.9357854774,        4.07697973
          0,           0,          62,      -1.629392522,       1.159356729,      0.9391551291,       4.080152979
          0,           0,          63,      -1.625607286,       1.162724455,      0.9426286866,       4.083493764
          0,           0,          64,      -1.621775575,       1.166184108,      0.9460555318,       4.086887925
          0,           0,          65,      -1.617967649,       1.169655965,      0.9493238202,       4.090234214
          0,           0,          66,      -1.614224613,       1.173084023,      0.9523714949,       4.093463867
          0,           0,          67,      -1.610559338,       1.176436566,      0.9551925325,       4.096545574
          0,           0,          68,      -1.606957239,       1.179709808,      0.9578211821,       4.099480273
          0,           0,          69,      -1.603379727,       1.182919254,      0.9603397666,        4.10229862
          0,           0,          70,      -1.599767532,       1.186109621,      0.9628609575,       4.105063582
          0,           0,          71,      -1.596047398,       1.189343956,      0.9655240534,       4.107861665
          0,           0,          72,      -1.592150059,       1.192692448,      0.9684526638,       4.110780306
          0,           0,          73,      -1.588019103,        1.19622127,      0.9717375848,       4.113893727
          0,           0,          74,      -1.583628222,        1.19996861,      0.9754000448,       4.117236846
          0,           0,          75,      -1.578986893,       1.203950699,      0.9793777327,       4.120805597
          0,           0,          76,       -1.57410807,       1.208189575,      0.9835568524,       4.124582794
          0,           0,          77,       -1.56902264,       1.212700972,       0.987775291,       4.128534577
          0,           0,          78,       -1.56374758,       1.217522031,      0.9918907453,       4.132644657
          0,           0,          79,      -1.558293597,       1.222681024,      0.9958051177,       4.136903459
          0,           0,          80,      -1.552662862,       1.228207957,      0.9994848384,        4.14132088
          0,           0,          81,      -1.546842678,         1.2341202,       1.003015873,       4.145931485
          0,           0,          82,      -1.540844049,       1.240380713,       1.006536669,       4.150750085
          0,           0,          83,      -1.534606622,       1.247014444,       1.010241947,       4.155842839
          0,           0,          84,      -1.528122192,       1.253962516,       1.014306084,       4.161213053
          0,           0,          85,      -1.521459217,       1.261060332,       1.018870454,       4.166791517
          0,           0,          86,      -1.514601064,       1.268231761,       1.024041208,       4.172574682
          0,           0,          87,      -1.507479527,       1.275471135,       1.029822428,       4.178587114
          0,           0,          88,      -1.500042108,       1.282787287,       1.036137684,       4.184846816
          0,           0,          89,      -1.492210808,        1.29026327,       1.042820037,       4.191403797
          0,           0,          90,      -1.483881076,       1.298023077,       1.049660533,       4.198326821
          0,           0,          91,      -1.474984285,       1.306261966,       1.056370578,       4.205699484
          0,           0,          92,      -1.465403869,       1.315214919,       1.062743286,        4.21364338
          0,           0,          93,      -1.455238436,       1.324995415,       1.068460668,        4.22211468
          0,           0,          94,      -1.444601811,        1.33565409,       1.073398197,       4.231051189
          0,           0,          95,      -1.433707299,       1.347061153,       1.077566766,       4.240310484
          0,           0,          96,      -1.422894965,       1.358865676,       1.081073841,       4.249622056
          0,           0,          97,      -1.412489251,       1.370623615,       1.084116935,        4.25868675
          0,           0,          98,      -1.402796072,       1.381813435,       1.086947237,       4.267183345
          0,           0,          99,      -1.394183612,       1.391822683,       1.089669628,       4.274687786
          0,           0,         100,      -1.386780451,       1.400370779,       1.092456161,        4.28105947
          0,           0,         101,      -1.380734404,       1.407172578,       1.095412279,       4.286162397
          0,           0,         102,      -1.376012542,       1.412142138,       1.098481419,       4.290008277
          0,           0,         103,      -1.372419493,        1.41543226,       1.101626573,       4.292781693
          0,           0,         104,      -1.369690599,       1.417413288,       1.104622528,       4.294765346
          0,           0,         105,      -1.367591658,       1.418426143,       1.107436775,       4.296193937
          0,           0,         106,       -1.36590085,       1.418859132,       1.110115997,       4.297330632
          0,           0,         107,       -1.36437845,       1.419110624,       1.112794508,       4.298432799
          0,           0,         108,      -1.362816678,       1.419499353,       1.115613135,       4.299703919
          0,           0,         109,      -1.361065971,       1.420152326,       1.118621874,       4.301218775
          0,           0,         110,      -1.358983679,       1.421181062,       1.121734043,       4.303043171
          0,           0,         111,      -1.356446591,       1.422652122,       1.124760765,       4.305216495
          0,           0,         112,      -1.353343514,        1.42470729,       1.127463131,       4.307814242
          0,           0,         113,      -1.349577854,       1.427563747,        1.12965534,       4.310939338
          0,           0,         114,      -1.345213525,       1.431328382,        1.13125766,       4.314582446
          0,           0,         115,      -1.340418482,       1.436009676,       1.132342411,       4.318667137
          0,           0,         116,      -1.335490909,       1.441349957,        1.13313485,       4.322966804
