"Time_Iter","Outer_Iter","Inner_Iter",       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,       "AoA"      
        174,           0,          22,   -0.001471099209,      0.1582059039,                 0,                 0,                 0,     0.08183622042,   -0.001471099209,      0.1582059039,                 0,      -107.5426476,                 0
        175,           0,          21,  -0.0001301614231,      0.1875824878,                 0,                 0,                 0,     0.08561789375,  -0.0001301614231,      0.1875824878,                 0,      -1441.152711,                 0
        176,           0,          21,    0.001149835328,      0.2051119861,                 0,                 0,                 0,     0.08399334628,    0.001149835328,      0.2051119861,                 0,        178.383792,                 0
        177,           0,          21,    0.002050008707,      0.2096951823,                 0,                 0,                 0,     0.07705533714,    0.002050008707,      0.2096951823,                 0,       102.2898984,                 0
        178,           0,          20,    0.002351312826,      0.2010184072,                 0,                 0,                 0,     0.06522205642,    0.002351312826,      0.2010184072,                 0,       85.49198771,                 0
        179,           0,          21,    0.001974086665,      0.1797283208,                 0,                 0,                 0,      0.0493226602,    0.001974086665,      0.1797283208,                 0,       91.04378446,                 0
        180,           0,          21,    0.001011595011,      0.1472069378,                 0,                 0,                 0,     0.03034019881,    0.001011595011,      0.1472069378,                 0,       145.5196359,                 0
        181,           0,          22,  -0.0002944229941,      0.1055431171,                 0,                 0,                 0,    0.009515439317,  -0.0002944229941,      0.1055431171,                 0,      -358.4744373,                 0
        182,           0,          22,   -0.001614846243,     0.05728392252,                 0,                 0,                 0,    -0.01189328229,   -0.001614846243,     0.05728392252,                 0,      -35.47329833,                 0
        183,           0,          22,   -0.002630909239,    0.005420376489,                 0,                 0,                 0,    -0.03255754446,   -0.002630909239,    0.005420376489,                 0,      -2.060267381,                 0
        184,           0,          22,     -0.0030951259,    -0.04681600931,                 0,                 0,                 0,    -0.05119387189,     -0.0030951259,    -0.04681600931,                 0,       15.12572051,                 0
        185,           0,          22,   -0.002886832729,    -0.09616272055,                 0,                 0,                 0,    -0.06664119919,   -0.002886832729,    -0.09616272055,                 0,       33.31080446,                 0
        186,           0,          22,   -0.002054184065,     -0.1395214529,                 0,                 0,                 0,     -0.0779289415,   -0.002054184065,     -0.1395214529,                 0,       67.92061884,                 0
        187,           0,          21,  -0.0008074820561,     -0.1741484544,                 0,                 0,                 0,    -0.08433576209,  -0.0008074820561,     -0.1741484544,                 0,       215.6685131,                 0
        188,           0,          21,   0.0005464490378,     -0.1977787712,                 0,                 0,                 0,    -0.08542206586,   0.0005464490378,     -0.1977787712,                 0,      -361.9345217,                 0
        189,           0,          21,    0.001671778286,     -0.2089229593,                 0,                 0,                 0,    -0.08110407797,    0.001671778286,     -0.2089229593,                 0,      -124.9704947,                 0
        190,           0,          20,    0.002291095557,      -0.206844716,                 0,                 0,                 0,    -0.07162951075,    0.002291095557,      -0.206844716,                 0,      -90.28201174,                 0
        191,           0,          20,     0.00225355979,     -0.1917099104,                 0,                 0,                 0,    -0.05763965816,     0.00225355979,     -0.1917099104,                 0,      -85.06981323,                 0
        192,           0,          21,    0.001558581088,     -0.1645948469,                 0,                 0,                 0,    -0.04006595741,    0.001558581088,     -0.1645948469,                 0,      -105.6055717,                 0
        193,           0,          21,   0.0003849603548,     -0.1272118867,                 0,                 0,                 0,    -0.01999884415,   0.0003849603548,     -0.1272118867,                 0,      -330.4545133,                 0
        194,           0,          22,  -0.0009711637736,    -0.08193278891,                 0,                 0,                 0,    0.001265279657,  -0.0009711637736,    -0.08193278891,                 0,       84.36557369,                 0
        195,           0,          22,    -0.00217674671,    -0.03151065244,                 0,                 0,                 0,     0.02245134084,    -0.00217674671,    -0.03151065244,                 0,       14.47603081,                 0
        196,           0,          22,   -0.002941735108,     0.02092862924,                 0,                 0,                 0,     0.04224772904,   -0.002941735108,     0.02092862924,                 0,      -7.114382658,                 0
        197,           0,          22,   -0.003077972555,     0.07210998311,                 0,                 0,                 0,     0.05942137511,   -0.003077972555,     0.07210998311,                 0,      -23.42775377,                 0
        198,           0,          22,   -0.002543052493,      0.1188242966,                 0,                 0,                 0,     0.07289517939,   -0.002543052493,      0.1188242966,                 0,      -46.72506639,                 0
        199,           0,          22,   -0.001470633818,      0.1581275873,                 0,                 0,                 0,     0.08181493369,   -0.001470633818,      0.1581275873,                 0,      -107.5234265,                 0
        200,           0,          21,  -0.0001294318861,      0.1875071274,                 0,                 0,                 0,     0.08559714712,  -0.0001294318861,      0.1875071274,                 0,      -1448.693464,                 0
        201,           0,          21,    0.001150725075,       0.205039262,                 0,                 0,                 0,     0.08397310114,    0.001150725075,       0.205039262,                 0,       178.1826663,                 0
        202,           0,          21,    0.002050989484,      0.2096249032,                 0,                 0,                 0,     0.07703558335,    0.002050989484,      0.2096249032,                 0,       102.2067177,                 0
        203,           0,          20,    0.002352254975,      0.2009504528,                 0,                 0,                 0,     0.06520281454,    0.002352254975,      0.2009504528,                 0,       85.42885656,                 0
        204,           0,          21,    0.001974949017,      0.1796626315,                 0,                 0,                 0,     0.04930397928,    0.001974949017,      0.1796626315,                 0,       90.97076937,                 0
        205,           0,          21,    0.001012359334,      0.1471435498,                 0,                 0,                 0,     0.03032214672,    0.001012359334,      0.1471435498,                 0,       145.3471558,                 0
        206,           0,          22,  -0.0002938010029,      0.1054821224,                 0,                 0,                 0,    0.009498102778,  -0.0002938010029,      0.1054821224,                 0,      -359.0257399,                 0
        207,           0,          22,   -0.001614380647,     0.05722546272,                 0,                 0,                 0,     -0.0119098108,   -0.001614380647,     0.05722546272,                 0,      -35.44731711,                 0
        208,           0,          22,   -0.002630588508,    0.005364632288,                 0,                 0,                 0,    -0.03257317187,   -0.002630588508,    0.005364632288,                 0,      -2.039327805,                 0
        209,           0,          22,   -0.003094934183,    -0.04686884907,                 0,                 0,                 0,     -0.0512085098,   -0.003094934183,    -0.04686884907,                 0,       15.14373046,                 0
        210,           0,          22,   -0.002886757222,    -0.09621246866,                 0,                 0,                 0,    -0.06665477102,   -0.002886757222,    -0.09621246866,                 0,       33.32890897,                 0
        211,           0,          22,    -0.00205423053,     -0.1395679427,                 0,                 0,                 0,    -0.07794138993,    -0.00205423053,     -0.1395679427,                 0,        67.9417138,                 0
        212,           0,          21,  -0.0008076495589,     -0.1741915277,                 0,                 0,                 0,    -0.08434705055,  -0.0008076495589,     -0.1741915277,                 0,       215.6771161,                 0
