"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,     -0.6282480908,       2.208581317,        1.98835418,       5.106183368
          0,           0,           1,      -0.765683956,       2.070589576,       1.824068712,       4.976851064
          0,           0,           2,     -0.8447038639,       2.003528541,       1.729209872,       4.906757105
          0,           0,           3,     -0.8795904557,       1.975962042,       1.692402661,       4.872231032
          0,           0,           4,     -0.8882281096,       1.967496533,       1.691376773,       4.859816439
          0,           0,           5,     -0.8838571392,       1.969635454,       1.706967968,       4.862127232
          0,           0,           6,     -0.8745031536,       1.976940836,       1.725730547,       4.871603661
          0,           0,           7,     -0.8637108196,       1.986160687,        1.74038896,       4.882657152
          0,           0,           8,     -0.8522998494,       1.996100584,       1.750165797,       4.893230828
          0,           0,           9,     -0.8401296643,       2.006419255,       1.757429876,       4.903262761
          0,           0,          10,     -0.8273083073,       2.016640194,       1.764963043,       4.912931757
          0,           0,          11,     -0.8144742897,       2.025892172,       1.774279846,       4.921890169
          0,           0,          12,     -0.8022742306,       2.033295393,       1.785290793,       4.929524955
          0,           0,          13,     -0.7910553503,        2.03833029,        1.79694642,       4.935371798
          0,           0,          14,     -0.7806066485,       2.041080362,       1.808178576,       4.939479724
          0,           0,          15,     -0.7702844938,       2.042182182,       1.818397165,         4.9424135
          0,           0,          16,     -0.7593361607,       2.042593957,       1.827512298,       4.945016977
          0,           0,          17,     -0.7472479952,       2.043297796,        1.83570991,       4.948083293
          0,           0,          18,     -0.7338861979,       2.045120189,       1.843286244,       4.952192829
          0,           0,          19,     -0.7193901791,       2.048747111,       1.850630466,       4.957800568
          0,           0,          20,     -0.7040043838,       2.054766917,       1.858217616,       4.965332086
          0,           0,          21,     -0.6880195273,       2.063562203,       1.866583675,       4.975118515
          0,           0,          22,     -0.6717588506,       2.075224789,       1.876198301,       4.987279498
          0,           0,          23,     -0.6556208285,       2.089486129,       1.887243639,        5.00158759
          0,           0,          24,     -0.6399871435,       2.105828638,       1.899549574,       5.017534031
          0,           0,          25,     -0.6251491631,       2.123690701,       1.912734602,       5.034553082
          0,           0,          26,     -0.6112892324,       2.142540318,       1.926265496,       5.052119847
          0,           0,          27,     -0.5984259341,        2.16196514,       1.939664839,       5.069877006
          0,           0,          28,     -0.5863996579,       2.181678024,       1.952654695,       5.087661711
          0,           0,          29,     -0.5749951614,       2.201369978,       1.965113134,       5.105332459
          0,           0,          30,     -0.5639323971,       2.220780597,       1.977085799,       5.122796307
          0,           0,          31,     -0.5530251528,       2.239577301,       1.988617136,       5.139845999
