"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    
          0,           0,          64,      -3.013684957,    -0.08440925941,     -0.6950901067,       2.493743438,      -5.388740376
          0,           0,          65,      -3.030686551,     -0.1003052364,     -0.7105085096,       2.476060838,      -5.390215647
          0,           0,          66,      -3.048623537,     -0.1163276418,     -0.7264958634,        2.45757175,      -5.391688542
          0,           0,          67,      -3.067480572,     -0.1324533979,     -0.7429965199,       2.438393491,      -5.393132366
          0,           0,          68,      -3.087060052,     -0.1486470589,     -0.7599993306,       2.418724587,      -5.394568011
          0,           0,          69,      -3.107126599,     -0.1647996857,      -0.777446531,       2.398810023,      -5.395995915
          0,           0,          70,      -3.127481414,     -0.1809203838,     -0.7953215687,       2.378857597,      -5.397408903
          0,           0,          71,      -3.147938535,     -0.1969879803,     -0.8135832344,       2.359035408,      -5.398817456
          0,           0,          72,      -3.168247024,     -0.2129828829,     -0.8321993441,       2.339539573,      -5.400229602
          0,           0,          73,      -3.188146023,     -0.2288658797,     -0.8511364667,        2.32054526,      -5.401646702
          0,           0,          74,       -3.20742705,     -0.2446388691,     -0.8703542954,       2.302157483,      -5.403072218
          0,           0,          75,      -3.226026478,      -0.260304805,     -0.8897991762,        2.28435619,      -5.404549801
          0,           0,          76,       -3.24384978,     -0.2758642988,     -0.9093653775,       2.267138872,      -5.406096158
          0,           0,          77,      -3.260530333,     -0.2913125482,     -0.9290003207,       2.250685562,      -5.407682242
          0,           0,          78,       -3.27581151,     -0.3066343877,     -0.9485474243,        2.23509502,      -5.409330351
          0,           0,          79,       -3.28941546,     -0.3218091796,     -0.9678890236,       2.220483191,      -5.411048557
          0,           0,          80,      -3.301397107,     -0.3368333531,     -0.9868420227,       2.206719937,      -5.412825497
          0,           0,          81,      -3.311271015,     -0.3517063584,      -1.005294699,       2.194175291,      -5.414664833
          0,           0,          82,      -3.319167346,     -0.3664289304,      -1.023174847,       2.182782449,      -5.416575608
          0,           0,          83,      -3.325295963,     -0.3809838344,      -1.040402077,       2.172433582,      -5.418566303
          0,           0,          84,      -3.329884024,     -0.3953277389,       -1.05684894,       2.163027325,      -5.420642404
          0,           0,          85,      -3.333152319,     -0.4094187105,      -1.072408553,       2.154489126,      -5.422789084
          0,           0,          86,      -3.335285702,     -0.4232401349,      -1.087201675,        2.14677077,       -5.42500544
          0,           0,          87,      -3.336552919,     -0.4367900208,      -1.101390712,       2.139757297,      -5.427290126
          0,           0,          88,      -3.337231301,     -0.4500754732,      -1.115081756,       2.133306242,      -5.429629367
          0,           0,          89,      -3.337602413,     -0.4630579529,      -1.128341529,        2.12726384,      -5.432017426
          0,           0,          90,      -3.337983457,     -0.4757374682,      -1.141234032,       2.121412579,      -5.434459943
          0,           0,          91,      -3.338517576,     -0.4881011507,      -1.153796264,       2.115681735,      -5.436937846
          0,           0,          92,      -3.339262218,     -0.5001441397,       -1.16612898,       2.110097332,      -5.439440289
          0,           0,          93,      -3.340403615,     -0.5118568395,      -1.178279469,        2.10447104,      -5.441956611
          0,           0,          94,      -3.341976587,     -0.5232209997,      -1.190177743,       2.098743563,      -5.444485247
          0,           0,          95,       -3.34396912,     -0.5342228455,      -1.201769432,       2.092923119,      -5.447028247
          0,           0,          96,       -3.34636841,     -0.5448818125,      -1.213009311,       2.087054381,      -5.449568197
          0,           0,          97,      -3.349111304,     -0.5551991035,      -1.223871356,       2.081222536,      -5.452096288
          0,           0,          98,      -3.352226952,     -0.5651686577,      -1.234361852,       2.075376904,      -5.454603405
          0,           0,          99,      -3.355714065,     -0.5747803549,      -1.244549181,       2.069504985,      -5.457090107
          0,           0,         100,      -3.359633935,     -0.5840738241,      -1.254489694,       2.063520311,       -5.45954919
          0,           0,         101,      -3.363856515,     -0.5930596976,      -1.264203205,       2.057566603,       -5.46198086
          0,           0,         102,      -3.368311146,     -0.6017405729,       -1.27361673,       2.051687543,       -5.46437565
          0,           0,         103,      -3.372955586,     -0.6101446942,      -1.282640249,       2.045878225,      -5.466734429
          0,           0,         104,      -3.377825967,     -0.6182723685,      -1.291209568,       2.040065111,      -5.469051018
          0,           0,         105,      -3.382741945,     -0.6260913572,       -1.29931254,       2.034432889,      -5.471326775
          0,           0,         106,       -3.38786824,     -0.6336573894,      -1.306860582,       2.028768172,      -5.473556359
          0,           0,         107,      -3.393046703,     -0.6409422716,      -1.313869659,       2.023251583,      -5.475735958
          0,           0,         108,      -3.398201252,     -0.6479601892,      -1.320444111,       2.017893088,      -5.477869342
