"Density","Momentum:0","Momentum:1","Momentum:2","Energy","Pressure","Temperature","Mach","Pressure_Coefficient","Velocity:0","Velocity:1","Velocity:2","Coordinates:0","Coordinates:1","Coordinates:2","Exact Velocity:0","Exact Velocity:1","Exact Velocity:2","Exact Pressure:0","Exact Pressure:1","Exact Density:0","Exact Density:1","Exact Mach:0","Exact Mach:1","Exact Temperature:0","Exact Temperature:1","Mach_error","Points:0","Points:1","Points:2"
1.09053338e+00,7.68342773e+02,-2.16125031e+01,0.00000000e+00,4.99672938e+05,9.15152656e+04,2.92337769e+02,2.05634737e+00,-3.03026102e-02,7.04556862e+02,-1.98182867e+01,0.00000000e+00,9.29214478e-01,3.30719173e-01,0.00000000e+00,6.99861558e+02,-1.54525852e+01,0.00000000e+00,9.34762909e+04,0.00000000e+00,1.16120552e+00,0.00000000e+00,2.02923335e+00,0.00000000e+00,2.96124455e+02,0.00000000e+00,2.71140219e-02,9.29214478e-01,3.30719173e-01,0.00000000e+00
9.73442018e-01,7.00866394e+02,-5.27808533e+01,0.00000000e+00,4.49351719e+05,7.82452734e+04,2.80013092e+02,2.15236115e+00,-7.76954666e-02,7.19987818e+02,-5.42208496e+01,0.00000000e+00,9.70635712e-01,3.04857701e-01,0.00000000e+00,7.18596178e+02,-5.40808972e+01,0.00000000e+00,7.83529057e+04,0.00000000e+00,1.16120552e+00,0.00000000e+00,2.14227312e+00,0.00000000e+00,2.81562825e+02,0.00000000e+00,1.00880362e-02,9.70635712e-01,3.04857701e-01,0.00000000e+00
8.59968185e-01,6.24692749e+02,-7.50750046e+01,0.00000000e+00,3.98576688e+05,6.73627812e+04,2.72877655e+02,2.20935273e+00,-1.16561487e-01,7.26413790e+02,-8.72997465e+01,0.00000000e+00,8.88446033e-01,2.31838420e-01,0.00000000e+00,7.34886478e+02,-9.62589081e+01,0.00000000e+00,6.47421803e+04,0.00000000e+00,1.16120552e+00,0.00000000e+00,2.26420636e+00,0.00000000e+00,2.66623732e+02,0.00000000e+00,-5.48536260e-02,8.88446033e-01,2.31838420e-01,0.00000000e+00
7.56051362e-01,5.52969177e+02,-9.21206284e+01,0.00000000e+00,3.52095656e+05,5.77060547e+04,2.65889038e+02,2.26827097e+00,-1.51049793e-01,7.31391021e+02,-1.21844405e+02,0.00000000e+00,8.80567789e-01,1.88013986e-01,0.00000000e+00,7.50207622e+02,-1.50041524e+02,0.00000000e+00,5.07522754e+04,0.00000000e+00,7.10879760e-01,0.00000000e+00,2.41993911e+00,0.00000000e+00,2.48707978e+02,0.00000000e+00,-1.51668141e-01,8.80567789e-01,1.88013986e-01,0.00000000e+00
1.79899681e+00,1.05968335e+03,2.17730591e+02,0.00000000e+00,7.90300625e+05,1.86010484e+05,3.60194763e+02,1.58054626e+00,3.07180315e-01,5.89041262e+02,1.21028892e+02,0.00000000e+00,8.06784272e-01,5.97220123e-01,0.00000000e+00,5.92286805e+02,1.18457361e+02,0.00000000e+00,1.82382076e+05,0.00000000e+00,1.77255977e+00,0.00000000e+00,1.59145395e+00,0.00000000e+00,3.58435993e+02,0.00000000e+00,-1.09076864e-02,8.06784272e-01,5.97220123e-01,0.00000000e+00
1.73019421e+00,1.03862720e+03,1.93952042e+02,0.00000000e+00,7.62702938e+05,1.76036266e+05,3.54435852e+02,1.61804402e+00,2.71558106e-01,6.00295152e+02,1.12098422e+02,0.00000000e+00,8.18672717e-01,5.51087081e-01,0.00000000e+00,5.92286805e+02,1.18457361e+02,0.00000000e+00,1.82382076e+05,0.00000000e+00,1.77255977e+00,0.00000000e+00,1.59145395e+00,0.00000000e+00,3.58435993e+02,0.00000000e+00,2.65900725e-02,8.18672717e-01,5.51087081e-01,0.00000000e+00
1.70290661e+00,1.02957764e+03,1.82757172e+02,0.00000000e+00,7.51602188e+05,1.72221578e+05,3.52311707e+02,1.63189554e+00,2.57934213e-01,6.04600177e+02,1.07320725e+02,0.00000000e+00,8.71669531e-01,5.87777138e-01,0.00000000e+00,5.92286805e+02,1.18457361e+02,0.00000000e+00,1.82382076e+05,0.00000000e+00,1.77255977e+00,0.00000000e+00,1.59145395e+00,0.00000000e+00,3.58435993e+02,0.00000000e+00,4.04415959e-02,8.71669531e-01,5.87777138e-01,0.00000000e+00
1.62248194e+00,1.00287592e+03,1.54986389e+02,0.00000000e+00,7.19310625e+05,1.60785281e+05,3.45220642e+02,1.67917252e+00,2.17090279e-01,6.18112220e+02,9.55242614e+01,0.00000000e+00,8.67492139e-01,5.28213263e-01,0.00000000e+00,5.96882540e+02,1.14573729e+02,0.00000000e+00,1.78372436e+05,0.00000000e+00,1.16120552e+00,0.00000000e+00,1.60646249e+00,0.00000000e+00,3.56166616e+02,0.00000000e+00,7.27100282e-02,8.67492139e-01,5.28213263e-01,0.00000000e+00
9.23635662e-01,6.71347412e+02,-6.49284210e+01,0.00000000e+00,4.28265531e+05,7.27991953e+04,2.74571991e+02,2.19832206e+00,-9.71457362e-02,7.26853066e+02,-7.02965723e+01,0.00000000e+00,1.44131958e+00,4.77625877e-01,0.00000000e+00,7.24588816e+02,-6.84147447e+01,0.00000000e+00,7.34247102e+04,0.00000000e+00,1.16120552e+00,0.00000000e+00,2.18379969e+00,0.00000000e+00,2.76385016e+02,0.00000000e+00,1.45223647e-02,1.44131958e+00,4.77625877e-01,0.00000000e+00
1.04732120e+00,7.42469666e+02,-3.31279259e+01,0.00000000e+00,4.81122312e+05,8.69686406e+04,2.89276489e+02,2.08125496e+00,-4.65405807e-02,7.08922597e+02,-3.16311041e+01,0.00000000e+00,1.38251281e+00,5.40029228e-01,0.00000000e+00,7.07087414e+02,-2.94057927e+01,0.00000000e+00,8.76756713e+04,0.00000000e+00,1.16120552e+00,0.00000000e+00,2.07031763e+00,0.00000000e+00,2.90753550e+02,0.00000000e+00,1.09373311e-02,1.38251281e+00,5.40029228e-01,0.00000000e+00
