"Density","Momentum:0","Momentum:1","Momentum:2","Energy","Pressure","Temperature","Mach","Pressure_Coefficient","Velocity:0","Velocity:1","Velocity:2","Coordinates:0","Coordinates:1","Coordinates:2","Exact Velocity:0","Exact Velocity:1","Exact Velocity:2","Exact Pressure:0","Exact Pressure:1","Exact Density:0","Exact Density:1","Exact Mach:0","Exact Mach:1","Exact Temperature:0","Exact Temperature:1","Mach_error","Points:0","Points:1","Points:2"
1.16196644e+00,8.06628235e+02,-1.50619149e-01,0.00000000e+00,5.30296188e+05,1.00127453e+05,3.00185638e+02,1.99864662e+00,4.55201429e-04,6.94192366e+02,-1.29624354e-01,0.00000000e+00,-1.99421734e-01,-1.28879413e-01,0.00000000e+00,6.94447579e+02,0.00000000e+00,0.00000000e+00,1.00000000e+05,0.00000000e+00,1.16120552e+00,0.00000000e+00,2.00000000e+00,0.00000000e+00,3.00000000e+02,0.00000000e+00,-1.35338306e-03,-1.99421734e-01,-1.28879413e-01,0.00000000e+00
1.15911782e+00,8.05878357e+02,4.35835928e-01,0.00000000e+00,5.29219562e+05,9.96301641e+04,2.99428833e+02,2.00422430e+00,-1.32084650e-03,6.95251462e+02,3.76006581e-01,0.00000000e+00,-1.33475766e-01,-1.29519567e-01,0.00000000e+00,6.94447579e+02,0.00000000e+00,0.00000000e+00,1.00000000e+05,0.00000000e+00,1.16120552e+00,0.00000000e+00,2.00000000e+00,0.00000000e+00,3.00000000e+02,0.00000000e+00,4.22430038e-03,-1.33475766e-01,-1.29519567e-01,0.00000000e+00
1.25935113e+00,8.55051575e+02,-3.20801582e+01,0.00000000e+00,5.70629875e+05,1.11978992e+05,3.09756226e+02,1.92571521e+00,4.27821130e-02,6.78962008e+02,-2.54735612e+01,0.00000000e+00,1.71010375e-01,-2.39705950e-01,0.00000000e+00,6.94447579e+02,0.00000000e+00,0.00000000e+00,1.00000000e+05,0.00000000e+00,1.16120552e+00,0.00000000e+00,2.00000000e+00,0.00000000e+00,3.00000000e+02,0.00000000e+00,-7.42847919e-02,1.71010375e-01,-2.39705950e-01,0.00000000e+00
1.04161549e+00,7.14313721e+02,2.38560658e+01,0.00000000e+00,4.73705031e+05,9.14010625e+04,3.05685028e+02,1.95766199e+00,-3.07104923e-02,6.85774866e+02,2.29029484e+01,0.00000000e+00,6.58957779e-01,-1.83765963e-01,0.00000000e+00,7.01830179e+02,1.91513431e+01,0.00000000e+00,9.18983262e+04,0.00000000e+00,1.16120552e+00,0.00000000e+00,2.04015872e+00,0.00000000e+00,2.94687518e+02,0.00000000e+00,-8.24967313e-02,6.58957779e-01,-1.83765963e-01,0.00000000e+00
1.37406087e+00,8.87410889e+02,-7.44194565e+01,0.00000000e+00,6.14300062e+05,1.30290461e+05,3.30321594e+02,1.77878404e+00,1.08180217e-01,6.45830842e+02,-5.41602327e+01,0.00000000e+00,6.19433343e-01,-2.18994603e-01,0.00000000e+00,6.20228075e+02,-9.28850144e+01,0.00000000e+00,1.58368157e+05,0.00000000e+00,1.16120552e+00,0.00000000e+00,1.68605718e+00,0.00000000e+00,3.44265295e+02,0.00000000e+00,9.27268603e-02,6.19433343e-01,-2.18994603e-01,0.00000000e+00
1.81070733e+00,1.07334351e+03,-2.21979507e+02,0.00000000e+00,7.95862750e+05,1.85651828e+05,3.57174561e+02,1.59770727e+00,3.05899352e-01,5.92776795e+02,-1.22592372e+02,0.00000000e+00,5.40714976e-01,-3.00000000e-01,0.00000000e+00,5.92286805e+02,-1.18457361e+02,0.00000000e+00,1.82382076e+05,0.00000000e+00,1.77255977e+00,0.00000000e+00,1.59145395e+00,0.00000000e+00,3.58435993e+02,0.00000000e+00,6.25332531e-03,5.40714979e-01,-3.00000012e-01,0.00000000e+00
8.57653618e-01,6.16161682e+02,7.07194214e+01,0.00000000e+00,3.95363812e+05,6.84458125e+04,2.78013123e+02,2.16343117e+00,-1.12693533e-01,7.18427194e+02,8.24568566e+01,0.00000000e+00,1.23663270e+00,-1.42249078e-01,0.00000000e+00,7.50207622e+02,1.50041524e+02,0.00000000e+00,5.07522754e+04,0.00000000e+00,7.10879760e-01,0.00000000e+00,2.41993911e+00,0.00000000e+00,2.48707978e+02,0.00000000e+00,-2.56507942e-01,1.23663270e+00,-1.42249078e-01,0.00000000e+00
7.08552420e-01,5.30298462e+02,1.03206253e+02,0.00000000e+00,3.32935000e+05,5.07897031e+04,2.49708908e+02,2.40688515e+00,-1.75751060e-01,7.48425165e+02,1.45657894e+02,0.00000000e+00,1.16109264e+00,-1.65103778e-01,0.00000000e+00,7.50207622e+02,1.50041524e+02,0.00000000e+00,5.07522754e+04,0.00000000e+00,7.10879760e-01,0.00000000e+00,2.41993911e+00,0.00000000e+00,2.48707978e+02,0.00000000e+00,-1.30539629e-02,1.16109264e+00,-1.65103778e-01,0.00000000e+00
1.17157853e+00,8.09435303e+02,-4.32656825e-01,0.00000000e+00,5.33996562e+05,1.01751969e+05,3.02553223e+02,1.98134935e+00,6.25704182e-03,6.90892914e+02,-3.69293918e-01,0.00000000e+00,-9.42676365e-02,-8.37817863e-02,0.00000000e+00,6.94447579e+02,0.00000000e+00,0.00000000e+00,1.00000000e+05,0.00000000e+00,1.16120552e+00,0.00000000e+00,2.00000000e+00,0.00000000e+00,3.00000000e+02,0.00000000e+00,-1.86506510e-02,-9.42676365e-02,-8.37817863e-02,0.00000000e+00
1.16685784e+00,8.08357605e+02,-2.09216309e+00,0.00000000e+00,5.32097625e+05,1.00838016e+05,3.01048645e+02,1.99168134e+00,2.99290568e-03,6.92764430e+02,-1.79298884e+00,0.00000000e+00,-8.49678814e-02,-1.45962551e-01,0.00000000e+00,6.94447579e+02,0.00000000e+00,0.00000000e+00,1.00000000e+05,0.00000000e+00,1.16120552e+00,0.00000000e+00,2.00000000e+00,0.00000000e+00,3.00000000e+02,0.00000000e+00,-8.31866264e-03,-8.49678814e-02,-1.45962551e-01,0.00000000e+00
7.00196028e-01,5.21287659e+02,9.99522171e+01,0.00000000e+00,3.28612094e+05,5.09727266e+04,2.53599609e+02,2.37451410e+00,-1.75097406e-01,7.44488169e+02,1.42748906e+02,0.00000000e+00,1.10284054e+00,-1.26561299e-01,0.00000000e+00,7.50207622e+02,1.50041524e+02,0.00000000e+00,5.07522754e+04,0.00000000e+00,7.10879760e-01,0.00000000e+00,2.41993911e+00,0.00000000e+00,2.48707978e+02,0.00000000e+00,-4.54250071e-02,1.10284054e+00,-1.26561299e-01,0.00000000e+00
