"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,           0,     -0.0928534637,       2.813952889,      -10.82532337,       5.641577995
          0,           0,           1,     -0.1677802795,       2.701731842,       2.058509658,        5.54432749
          0,           0,           2,     -0.1744014482,       2.689380048,       2.282581303,       5.513800674
          0,           0,           3,     -0.1659569272,       2.699156641,       2.382170497,       5.494268821
          0,           0,           4,     -0.1549263939,       2.714387985,       2.432972195,        5.47873092
          0,           0,           5,     -0.1351376538,       2.733931622,       2.455276701,       5.485389892
          0,           0,           6,     -0.1094042663,       2.755939174,       2.458249792,       5.511646192
          0,           0,           7,    -0.08193792884,       2.776794344,       2.446960358,       5.545119429
          0,           0,           8,    -0.05728077328,       2.794152725,       2.424977991,       5.575901191
          0,           0,           9,    -0.03777787014,       2.806971016,       2.395646526,       5.599923941
          0,           0,          10,    -0.02440578514,       2.814796585,       2.362770778,       5.616072864
          0,           0,          11,    -0.01757353535,         2.8173553,       2.330642249,       5.624260684
          0,           0,          12,    -0.01746351567,       2.814406627,        2.30321185,       5.624662277
          0,           0,          13,    -0.02409252022,       2.805801887,       2.282664301,       5.617556738
          0,           0,          14,    -0.03726639572,       2.791563634,       2.268550079,       5.603353624
          0,           0,          15,     -0.0565229597,       2.771964586,       2.258377569,        5.58268268
          0,           0,          16,    -0.08108166932,       2.747565245,       2.249042592,       5.556446724
          0,           0,          17,      -0.109816293,       2.719227498,        2.23800596,        5.52582526
          0,           0,          18,     -0.1412848525,       2.688111615,       2.223690247,         5.4922496
          0,           0,          19,     -0.1738244027,       2.655656066,       2.205477571,       5.457384453
          0,           0,          20,     -0.2057449305,       2.623470666,       2.183589322,       5.423035386
          0,           0,          21,     -0.2355957108,       2.593126554,       2.158978823,        5.39092747
          0,           0,          22,     -0.2623908668,       2.565919751,       2.133241536,       5.362410552
          0,           0,          23,     -0.2856625863,        2.54274853,       2.108468183,       5.338267664
          0,           0,          24,     -0.3052961203,       2.524163752,       2.086860355,       5.318787808
          0,           0,          25,     -0.3213070662,       2.510475894,       2.070190813,       5.303982769
          0,           0,          26,     -0.3336946433,       2.501785166,       2.059273712,       5.293780409
          0,           0,          27,     -0.3424529064,        2.49789975,       2.053752923,       5.288049294
          0,           0,          28,     -0.3476781441,        2.49825496,       2.052373214,       5.286498187
          0,           0,          29,     -0.3496832543,       2.501947815,       2.053508138,       5.288567266
          0,           0,          30,     -0.3490185825,       2.507891248,       2.055664768,       5.293422884
          0,           0,          31,     -0.3464107909,       2.515002744,       2.057749423,       5.300054307
          0,           0,          32,     -0.3426575786,        2.52234842,       2.059100962,       5.307425658
          0,           0,          33,     -0.3385223739,       2.529204473,       2.059409876,       5.314611408
          0,           0,          34,     -0.3346628426,       2.535054122,       2.058602471,        5.32087655
          0,           0,          35,     -0.3315917488,       2.539556673,        2.05673509,       5.325707959
          0,           0,          36,     -0.3296730989,       2.542506777,       2.053911085,       5.328798532
          0,           0,          37,     -0.3291260777,       2.543803467,       2.050249682,       5.330019205
          0,           0,          38,     -0.3300572393,       2.543415008,       2.045847669,       5.329361106
          0,           0,          39,     -0.3324806288,       2.541363184,       2.040781871,       5.326898019
          0,           0,          40,     -0.3363403191,       2.537711511,       2.035114976,       5.322752639
          0,           0,          41,     -0.3415286582,        2.53255984,       2.028905078,       5.317075492
          0,           0,          42,     -0.3479016337,        2.52604081,        2.02221303,       5.310032925
          0,           0,          43,     -0.3552931384,       2.518315426,       2.015104953,       5.301799655
          0,           0,          44,     -0.3635140137,       2.509576348,       2.007675063,       5.292570381
          0,           0,          45,     -0.3723686499,       2.500039315,       2.000029707,       5.282552401
          0,           0,          46,     -0.3816525203,       2.489945462,       1.992298492,       5.271977194
          0,           0,          47,        -0.3911511,       2.479562196,        1.98463438,       5.261107269
          0,           0,          48,     -0.4006386997,       2.469182256,       1.977207442,       5.250238693
          0,           0,          49,     -0.4098763603,       2.459122252,       1.970192149,       5.239699829
          0,           0,          50,     -0.4186153566,        2.44971218,       1.963749921,        5.22983857
          0,           0,          51,     -0.4266078984,       2.441275234,       1.958007167,       5.220997517
          0,           0,          52,     -0.4336259516,       2.434097209,        1.95303858,       5.213478975
          0,           0,          53,     -0.4394845435,        2.42839206,       1.948857314,        5.20750674
          0,           0,          54,     -0.4440681839,       2.424268239,       1.945414918,       5.203190259
          0,           0,          55,     -0.4473518517,       2.421707825,       1.942609574,       5.200503417
          0,           0,          56,     -0.4494091162,       2.420565946,       1.940302559,       5.199285835
          0,           0,          57,     -0.4504053585,       2.420591056,       1.938336895,       5.199265754
          0,           0,          58,     -0.4505764081,       2.421461802,       1.936554481,       5.200100093
          0,           0,          59,     -0.4501990205,       2.422829203,       1.934809559,       5.201418989
          0,           0,          60,     -0.4495599419,       2.424355021,       1.932977689,       5.202865576
          0,           0,          61,     -0.4489282596,       2.425741292,        1.93096095,       5.204127127
          0,           0,          62,     -0.4485354793,         2.4267478,       1.928690534,       5.204953523
          0,           0,          63,     -0.4485643255,       2.427198391,       1.926126325,       5.205164128
          0,           0,          64,     -0.4491446019,       2.426979468,       1.923255451,        5.20464681
          0,           0,          65,      -0.450354088,       2.426033802,       1.920089478,       5.203352015
          0,           0,          66,     -0.4522234021,       2.424351558,       1.916661059,       5.201283468
          0,           0,          67,     -0.4547422515,       2.421960863,       1.913019894,       5.198488193
          0,           0,          68,     -0.4578665439,       2.418918733,       1.909228175,       5.195046469
          0,           0,          69,     -0.4615258137,       2.415302644,       1.905355772,       5.191062052
          0,           0,          70,     -0.4656305859,       2.411202938,       1.901475296,        5.18665306
          0,           0,          71,     -0.4700796642,       2.406715914,       1.897656885,       5.181943459
          0,           0,          72,     -0.4747670515,       2.401937688,       1.893963773,       5.177055432
          0,           0,          73,     -0.4795887554,       2.396958505,       1.890448171,       5.172102261
          0,           0,          74,     -0.4844487782,       2.391857999,        1.88714821,       5.167182449
          0,           0,          75,     -0.4892643685,       2.386701212,       1.884086187,       5.162374775
          0,           0,          76,     -0.4939701889,       2.381535852,       1.881267254,       5.157734736
          0,           0,          77,     -0.4985199003,       2.376391691,       1.878682606,       5.153294129
          0,           0,          78,     -0.5028877708,       2.371280134,       1.876309545,       5.149060232
          0,           0,          79,     -0.5070679698,       2.366195772,       1.874114371,       5.145017866
          0,           0,          80,     -0.5110726665,       2.361118863,       1.872055646,       5.141132835
          0,           0,          81,     -0.5149292513,        2.35601844,       1.870087202,       5.137356347
          0,           0,          82,     -0.5186770306,       2.350855665,       1.868160866,       5.133629961
          0,           0,          83,     -0.5223633805,       2.345587518,       1.866228732,       5.129890978
          0,           0,          84,     -0.5260402548,       2.340169859,       1.864244759,       5.126077013
          0,           0,          85,     -0.5297614542,       2.334559897,       1.862164486,       5.122129327
          0,           0,          86,     -0.5335763862,       2.328720855,       1.859952997,       5.117999837
          0,           0,          87,     -0.5375310006,       2.322621456,       1.857577282,       5.113648878
          0,           0,          88,     -0.5416643383,        2.31623831,       1.855010006,       5.109047888
          0,           0,          89,     -0.5460072875,       2.309556757,       1.852229167,       5.104179355
          0,           0,          90,     -0.5505817744,       2.302571262,       1.849218031,       5.099036159
          0,           0,          91,     -0.5554007647,       2.295284956,       1.845964771,         5.0936199
          0,           0,          92,     -0.5604688183,       2.287708755,       1.842461835,       5.087938971
          0,           0,          93,      -0.565783946,       2.279859355,       1.838704348,       5.082005602
          0,           0,          94,     -0.5713386946,       2.271757488,       1.834690122,        5.07583399
          0,           0,          95,     -0.5771223084,       2.263425489,       1.830418336,       5.069437925
          0,           0,          96,     -0.5831228529,       2.254884745,       1.825888496,       5.062828685
          0,           0,          97,      -0.589328995,       2.246153508,       1.821099744,       5.056013702
          0,           0,          98,     -0.5957314142,       2.237245236,       1.816050351,       5.048995924
          0,           0,          99,     -0.6023237005,       2.228167614,       1.810737478,       5.041773833
