3.148461804565495514e-01 3.144160386843954935e-01 3.463125319550577341e-01 3.285540346212664220e-01 3.460078849694784298e-01 2.652479826007984043e-01 2.865013049873956219e-01 2.783807088658531437e-01 2.663684123705629681e-01 2.731606536860999856e-01
3.148461804565495514e-01 3.144160386843954935e-01 3.463125319550577341e-01 3.285540346212664220e-01 3.460078849694784298e-01 2.652479826007984043e-01 2.865013049873956219e-01 2.783807088658531437e-01 2.663684123705629681e-01 2.860099786733406590e-01
2.613582135451654742e-01 2.689265634118228054e-01 2.283368225131914564e-01 2.459903330918389586e-01 2.193113365809732374e-01 2.173130417450765961e-01 2.500055197864776702e-01 2.354141757567798365e-01 2.352679317049961305e-01 2.331615309428149152e-01
2.561209285517805911e-01 2.234925379330302830e-01 1.962308419270516746e-01 2.136984083810907209e-01 2.007746594913708826e-01 2.116352026064994563e-01 2.099207986747924359e-01 1.959897605359854633e-01 2.015274867270371306e-01 1.970844320726849452e-01
2.613878713484673044e-01 1.980608412862204515e-01 1.986383288019089310e-01 2.008007116880197451e-01 1.891342765955031924e-01 1.970546136478375787e-01 1.843184922936493830e-01 1.827172395075821465e-01 1.839756726332302250e-01 1.815962757148540663e-01
2.409467206238903869e-01 1.610384502357989356e-01 1.674486205880293954e-01 1.597508108066510724e-01 1.508598434932854060e-01 1.512057267073988187e-01 1.524515916735972032e-01 1.484364556487823839e-01 1.530184869680593363e-01 1.415569552797681374e-01
1.935727061391499249e-01 1.400735771573871635e-01 1.380960566408791224e-01 1.386503867384520083e-01 1.342147207495553440e-01 1.266909384825811724e-01 1.254348058310532643e-01 1.234254231191776463e-01 1.179880582617965495e-01 1.211168690642834972e-01
1.513476370789709202e-01 1.324138346215292250e-01 1.240945539524054148e-01 1.134089607504535774e-01 1.070498667588741792e-01 1.041204989393361147e-01 1.003939085139765458e-01 9.878828330870410845e-02 8.999964261685286515e-02 9.743899030304499498e-02
1.296838177514411938e-01 1.179686448991636022e-01 1.140913325888036067e-01 1.000042381030447486e-01 9.706679164194334519e-02 9.010459583804775185e-02 8.689797768554184676e-02 8.240871805047800258e-02 7.681848246782575773e-02 7.211405080945584856e-02
1.209969105217689467e-01 9.816207914314729888e-02 9.885981776476600313e-02 8.686468962292022422e-02 7.942818978255886120e-02 7.708458755253012884e-02 7.276057826171551668e-02 6.669154776449648381e-02 5.785199510034030185e-02 5.855371881566245884e-02
